"1";"NFQ Level 6";"Male";"Education";"Number of Graduates (Persons)";0
"1";"NFQ Level 6";"Male";"Education";"P25 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Education";"P50 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Education";"P75 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Arts and Humanities";"Number of Graduates (Persons)";10
"1";"NFQ Level 6";"Male";"Arts and Humanities";"P25 Earnings of Graduates (Euro)";125.0
"1";"NFQ Level 6";"Male";"Arts and Humanities";"P50 Earnings of Graduates (Euro)";195.0
"1";"NFQ Level 6";"Male";"Arts and Humanities";"P75 Earnings of Graduates (Euro)";370.0
"1";"NFQ Level 6";"Male";"Social Sciences, Journalism and Information";"Number of Graduates (Persons)";0
"1";"NFQ Level 6";"Male";"Social Sciences, Journalism and Information";"P25 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Social Sciences, Journalism and Information";"P50 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Social Sciences, Journalism and Information";"P75 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Business, Administration and Law";"Number of Graduates (Persons)";140
"1";"NFQ Level 6";"Male";"Business, Administration and Law";"P25 Earnings of Graduates (Euro)";195.0
"1";"NFQ Level 6";"Male";"Business, Administration and Law";"P50 Earnings of Graduates (Euro)";240.0
"1";"NFQ Level 6";"Male";"Business, Administration and Law";"P75 Earnings of Graduates (Euro)";325.0
"1";"NFQ Level 6";"Male";"Natural Sciences, Mathematics and Statistics";"Number of Graduates (Persons)";0
"1";"NFQ Level 6";"Male";"Natural Sciences, Mathematics and Statistics";"P25 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Natural Sciences, Mathematics and Statistics";"P50 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Natural Sciences, Mathematics and Statistics";"P75 Earnings of Graduates (Euro)";..
"1";"NFQ Level 6";"Male";"Information and Communication Technologies";"Number of Graduates (Persons)";10
"1";"NFQ Level 6";"Male";"Information and Communication Technologies";"P25 Earnings of Graduates (Euro)";235.0
"1";"NFQ Level 6";"Male";"Information and Communication Technologies";"P50 Earnings of Graduates (Euro)";295.0
